    73/199     31.9G   0.01271  0.002488  0.002166   0.01737        62       640    0.8628    0.8651    0.9065    0.7088   0.01108  0.001908  0.001783
    74/199     31.9G   0.01275  0.002455  0.002178   0.01738        45       640    0.8611    0.8657    0.9041    0.7073   0.01106  0.001897  0.001743
    75/199     31.9G   0.01259   0.00246  0.002108   0.01716        32       640    0.8651    0.8671    0.9049    0.7123     0.011  0.001893  0.001744
    76/199     31.9G   0.01252    0.0024  0.002104   0.01703        32       640    0.8822    0.8457    0.9073    0.7129   0.01104  0.001898  0.001709
    77/199     31.9G   0.01246  0.002354  0.002039   0.01685        25       640    0.8586    0.8745    0.9065    0.7131   0.01096  0.001895  0.001728
    78/199     31.9G   0.01256  0.002409  0.002079   0.01705        32       640    0.8695    0.8647    0.9056    0.7138   0.01096  0.001875  0.001717
    79/199     31.9G   0.01222  0.002387   0.00204   0.01664        52       640    0.8586    0.8753    0.9065    0.7136   0.01096  0.001882  0.001657
    80/199     31.9G   0.01245  0.002382  0.002025   0.01685        29       640    0.8684    0.8641    0.9066    0.7122   0.01102  0.001898   0.00163
    81/199     31.9G   0.01223   0.00237  0.001959   0.01655        45       640    0.8522      0.88    0.9036    0.7088     0.011   0.00192  0.001657
    82/199     31.9G   0.01236  0.002382  0.002004   0.01675        46       640    0.8661    0.8657    0.9034    0.7104   0.01101  0.001916  0.001647
    83/199     31.9G   0.01209  0.002384  0.001909   0.01638        42       640    0.8473    0.8819    0.9031    0.7104   0.01095  0.001923  0.001662
    84/199     31.9G   0.01215  0.002337  0.001915    0.0164        58       640    0.8331    0.8957    0.9021    0.7089   0.01096  0.001927  0.001663
    85/199     31.9G   0.01204  0.002335  0.001887   0.01626        35       640    0.8744    0.8583    0.9028    0.7103   0.01092  0.001915  0.001608
    86/199     31.9G   0.01186  0.002322  0.001849   0.01603        23       640    0.8622    0.8678    0.9042    0.7108   0.01094  0.001907  0.001578
    87/199     31.9G   0.01193   0.00233  0.001893   0.01615        27       640    0.8597    0.8742    0.9031    0.7092   0.01093  0.001912  0.001586
    88/199     31.9G   0.01186  0.002373  0.001902   0.01613        42       640    0.8562    0.8741     0.903    0.7095   0.01091  0.001914  0.001591
    89/199     31.9G   0.01201  0.002383  0.001893   0.01629        38       640    0.8606     0.868     0.901    0.7103    0.0109  0.001923  0.001595
    90/199     31.9G   0.01182  0.002342  0.001816   0.01598        51       640    0.8584    0.8738     0.903    0.7118   0.01088  0.001906  0.001576
    91/199     31.9G   0.01177  0.002358  0.001842   0.01597        30       640    0.8606    0.8718    0.9046    0.7155   0.01084  0.001905  0.001549
    92/199     31.9G   0.01176   0.00229  0.001783   0.01583        36       640    0.8565    0.8732     0.905    0.7151   0.01087  0.001915  0.001554
    93/199     31.9G   0.01172  0.002275  0.001789   0.01578        28       640    0.8533    0.8768    0.9061    0.7141   0.01087   0.00191  0.001542
    94/199     31.9G   0.01168  0.002306  0.001723   0.01571        41       640    0.8471    0.8822    0.9061    0.7141   0.01081  0.001911  0.001554
    95/199     31.9G   0.01156  0.002231  0.001789   0.01558        34       640    0.8585    0.8745    0.9056    0.7135    0.0108  0.001919  0.001549
    96/199     31.9G   0.01163  0.002292  0.001753   0.01567        30       640    0.8796    0.8537    0.9049    0.7124   0.01083  0.001918  0.001518
    97/199     31.9G    0.0115  0.002252  0.001701   0.01546        78       640     0.859    0.8707    0.9032    0.7118   0.01086  0.001937  0.001493
    98/199     31.9G   0.01156  0.002264  0.001745   0.01557        38       640    0.8551    0.8736    0.9034    0.7107   0.01089  0.001944  0.001472
    99/199     31.9G   0.01149  0.002311  0.001716   0.01552        40       640    0.8571    0.8734    0.9045    0.7115   0.01089  0.001937  0.001472
   100/199     31.9G   0.01135  0.002261  0.001679   0.01529        24       640    0.8633    0.8677    0.9054     0.714   0.01086  0.001926  0.001464
